Title,Director,Cast,Year,Genre,combo
dilruba tangewali,S. R. Pratap,rajendra deva pran hemant nath krishna chand sripada devi birje usmani,1987,unknown,rajendra deva pran hemant nath krishna chand sripada devi birje usmani unknown
dozakh,Suhaas Khandke,kapoor bhatt suhaas pallavi khandke trilok,1987,unknown,kapoor bhatt suhaas pallavi khandke trilok unknown
ek aur itihas,Prakash Jha,unknown,1987,unknown,unknown unknown
ek chor ek hasina,K. Ragavendra Rao,krishna sridevi ghattamaneni,1987,unknown,krishna sridevi ghattamaneni unknown
ek ladki badnaam si,Unknown,unknown,1987,unknown,unknown unknown
faqeer badshah,Subhash,danny rom bindu denzongpa manik,1987,action,danny rom bindu denzongpa manik action
ghar ka sukh,Kalpataru,raj kiran,1987,unknown,raj kiran unknown
goraa,Desh Gautam,kiran pandit sulakshana rajesh khanna pran raj,1987,unknown,kiran pandit sulakshana rajesh khanna pran raj unknown
gulami ki zaanjeerein,Unknown,khan kader,1987,unknown,khan kader unknown
hamari jung,Rajesh Bahaduri,khan mohan rajshri irshad nair choti,1987,action,khan mohan rajshri irshad nair choti action
hawalaat,Surendera Mohan,kapoor chakraborty padmini kolhapure mandakini rishi mithun,1987,crime adventure action drama,kapoor chakraborty padmini kolhapure mandakini rishi mithun crime adventure action drama
hifazat,Prayag Raj,kapoor madhuri kumar dixit nutan pran anil ashok,1987,family drama,kapoor madhuri kumar dixit nutan pran anil ashok family drama
himmat aur mehanat,K. Bapaiah,kapoor jeetendra dhillon shammi poonam,1987,action drama,kapoor jeetendra dhillon shammi poonam action drama
hiraasat,Surendra Mohan,anita chakraborty malini shatrughan sinha hema raj mithun,1987,crime action drama,anita chakraborty malini shatrughan sinha hema raj mithun crime action drama
hukumat,Anil Sharma,agnihotri dharmendra rati,1987,unknown,agnihotri dharmendra rati unknown
ijaazat,Gulzar,shah rekha anuradha naseeruddin patel,1987,musical drama romance,shah rekha anuradha naseeruddin patel musical drama romance
imaandaar,Sushil Malik,naaz pran dutt farha sanjay,1987,crime action drama,naaz pran dutt farha sanjay crime action drama
inaam dus hazaar,Jyotin Goel,amrish puri sheshadri meenakshi dutt sanjay,1987,action,amrish puri sheshadri meenakshi dutt sanjay action
insaaf,Mukul S. Anand,vinod dimple khanna kapadia suresh oberoi,1987,action,vinod dimple khanna kapadia suresh oberoi action
insaf ki pukar,T. Rama Rao,anita dharmendra jeetendra bhanupriya raj,1987,unknown,anita dharmendra jeetendra bhanupriya raj unknown
insaniyat ke dushman,Rajkumar Kohli,anita shatrughan sinha dharmendra dimple kapadia raj,1987,action,anita shatrughan sinha dharmendra dimple kapadia raj action
itihaas,V. Joshi,kapoor shabana kumar azmi agnihotri raaj anil rati,1987,family drama,kapoor shabana kumar azmi agnihotri raaj anil rati family drama
jaago hua savera,Shaukat Jamali,hangal shoma anand a hattangadi k rohini,1987,unknown,hangal shoma anand a hattangadi k rohini unknown
jaan hatheli pe,R. Jhalani,malini babbar rekha dharmendra jeetendra hema raj,1987,action,malini babbar rekha dharmendra jeetendra hema raj action
jalwa,Pankaj Parashar,shah bachchan archna pooran naseeruddin amitabh singh rohini hattangady,1987,unknown,shah bachchan archna pooran naseeruddin amitabh singh rohini hattangady unknown
jawab hum denge,Vijay Reddi,shroff jackie shatrughan sinha sridevi,1987,unknown,shroff jackie shatrughan sinha sridevi unknown
jhanjhaar,V. Shantaram,ranjana padmini sushant kolhapure deshmukh yunus pervez sudhir pandey roy,1987,social drama,ranjana padmini sushant kolhapure deshmukh yunus pervez sudhir pandey roy social drama
kamagni,Ashok Kumar,sujit lagoo munim tina kumar shreeram,1987,music drama,sujit lagoo munim tina kumar shreeram music drama
kaash,Mahesh Bhatt,shroff jackie master dimple kapadia makrand,1987,family drama,shroff jackie master dimple kapadia makrand family drama
kachchi kali,K.R. Rangan,karzan ajinkya deo kapil sonika gill,1987,unknown,karzan ajinkya deo kapil sonika gill unknown
kalyug aur ramayan,Babubhai Mistry,madhavi manoj goswami kumar rajiv,1987,drama,madhavi manoj goswami kumar rajiv drama
kaun jeeta kaun haara,Rakesh Kumar,bachchan kishore amitabh kumar,1987,unknown,bachchan kishore amitabh kumar unknown
kaun kitney pani mein,Unknown,mahendra sandhu,1987,unknown,mahendra sandhu unknown
khazana,Harmesh Malhotra,kapoor randhir bindu rekha,1987,crime action drama thriller,kapoor randhir bindu rekha crime action drama thriller
khudgarz,Rakesh Roshan,shatrughan sinha jeetendra amrita neelam singh bhanupriya govinda,1987,family musical drama,shatrughan sinha jeetendra amrita neelam singh bhanupriya govinda family musical drama
kudrat ka kanoon,"K.C. Bokadia, S.A. Chandrashekhar",shroff jackie malini pran hema,1987,unknown,shroff jackie malini pran hema unknown
loha,Raj Shippy,madhavi shatrughan sinha mandakini dharmendra,1987,crime action drama,madhavi shatrughan sinha mandakini dharmendra crime action drama
maa beti,Kalpataru,shashi kapoor khan sachin kader meenakshi pran sharmila tanuja pilgaonkar tagore seshadri,1987,unknown,shashi kapoor khan sachin kader meenakshi pran sharmila tanuja pilgaonkar tagore seshadri unknown
maashuka,Arati Bhattacharya,kapoor arun moon govil sen kunal,1987,romance,kapoor arun moon govil sen kunal romance
madadgaar,Ramanesh Puri,pandit sulakshana jeetendra aruna irani,1987,crime romance action drama,pandit sulakshana jeetendra aruna irani crime romance action drama
maha yatra,Goutam Ghose,mohan shatrughan choudhury sinha agashe vasant chatterjee kalyan,1987,drama thriller,mohan shatrughan choudhury sinha agashe vasant chatterjee kalyan drama thriller
majaal,K. Bapaiah,sadashiv vikas anand asrani amrapurkar,1987,unknown,sadashiv vikas anand asrani amrapurkar unknown
mard ki zabaan,K. Bapaiah,shroff jackie seth dhillon kimi dharmendra katkar sushma poonam,1987,unknown,shroff jackie seth dhillon kimi dharmendra katkar sushma poonam unknown
marte dam tak,Mehul Kumar,naaz kumar farha raaj govinda,1987,unknown,naaz kumar farha raaj govinda unknown
mera karam mera dharam,Dulal Guha,moushumi walker chatterjee johnny dharmendra,1987,unknown,moushumi walker chatterjee johnny dharmendra unknown
mera lahoo,Veerendra,kimi govinda katkar,1987,crime action drama,kimi govinda katkar crime action drama
mera suhag,Ajay Sharma,deepti naval dheer agnihotri pankaj rati,1987,unknown,deepti naval dheer agnihotri pankaj rati unknown
mera yaar mera dushman,Unknown,chakraborty ardhendu goswami bindiya bose mithun,1987,musical,chakraborty ardhendu goswami bindiya bose mithun musical
mirch masala,Ketan Mehta,mohan bajaj gokhale gopal benjamin ram gilani,1987,thriller,mohan bajaj gokhale gopal benjamin ram gilani thriller
moti veerana chowk,Abbas-Mastan,unknown,1987,unknown,unknown unknown
mr. india,Shekhar Kapur,kapoor amrish puri anil sridevi,1987,adventure fantasy fiction action comedy musical science drama,kapoor amrish puri anil sridevi adventure fantasy fiction action comedy musical science drama
muqaddar ka faisla,Prakash Mehra,babbar munim sheshadri meenakshi tina kumar pran raaj gulzar rakhee raj,1987,family drama,babbar munim sheshadri meenakshi tina kumar pran raaj gulzar rakhee raj family drama
naam o nishan,Ajay Kashyap,shashi kapoor amrita dutt sanjay singh roy nirupa,1987,action thriller,shashi kapoor amrita dutt sanjay singh roy nirupa action thriller
nafrat,Unknown,khan anand mazhar shoma,1987,unknown,khan anand mazhar shoma unknown
nazrana,Ravi Tandon,rajesh khanna priti sapru sridevi,1987,unknown,rajesh khanna priti sapru sridevi unknown
param dharam,Swaroop Kumar,chakraborty mandakini mithun,1987,crime action drama,chakraborty mandakini mithun crime action drama
parivaar,Shashilal Nair,kapoor chakraborty sheshadri meenakshi shakti mithun,1987,unknown,kapoor chakraborty sheshadri meenakshi shakti mithun unknown
pratighaat,N. Chandra,charan arvind patekar nana kumar mehta raj sujata,1987,drama,charan arvind patekar nana kumar mehta raj sujata drama
pyaar karke dekho,D. Rajendra Babu,khan govinda mandakini kader,1987,family,khan govinda mandakini kader family
pyaar ke do chaar din,Unknown,madhu malhotra,1987,unknown,madhu malhotra unknown
pyaar ki jeet,Saawan Kumar Tak,shashi kapoor mehra vinod rekha,1987,musical drama comedy,shashi kapoor mehra vinod rekha musical drama comedy
pyar ke kabil,Anil Ganguly,kapoor asha padmini sachdev kolhapure rishi,1987,family drama romance,kapoor asha padmini sachdev kolhapure rishi family drama romance
raahee,Raman Kumar,patil shatrughan sinha kumar smita sanjeev,1987,crime romance action drama,patil shatrughan sinha kumar smita sanjeev crime romance action drama
raat ke andhere mein,Vinod Talwar,khan mazhar dipika javed,1987,unknown,khan mazhar dipika javed unknown
rajlakshmi,Unknown,bhave ashwini shaikh mehta farooq sujata,1987,unknown,bhave ashwini shaikh mehta farooq sujata unknown
sadak chhap,Anil Ganguly,shroff jackie padmini richa kolhapure sharma,1987,crime drama,shroff jackie padmini richa kolhapure sharma crime drama
sansar,T. Rama Rao,anupam babbar rekha kher raj,1987,unknown,anupam babbar rekha kher raj unknown
satyamev jayate,Raj Sippy,vinod madhavi sheshadri meenakshi khanna,1987,unknown,vinod madhavi sheshadri meenakshi khanna unknown
sher shivaji,Ram Narayan Gabale,lagoo patil parikshat shreeram smita sahni,1987,unknown,lagoo patil parikshat shreeram smita sahni unknown
sindoor,K. Ravi Shankar,shashi neelam kapoor govinda,1987,unknown,shashi neelam kapoor govinda unknown
sitapur ki geeta,Shibu Mittra,malini rajesh pran khanna hema,1987,crime action,malini rajesh pran khanna hema crime action
superman,B. Gupta,ranjeeta dharmendra kaur,1987,science fiction,ranjeeta dharmendra kaur science fiction
susman,Shyam Benegal,kharbanda kulbhushan shabana puri azmi om,1987,drama,kharbanda kulbhushan shabana puri azmi om drama
sutradhar,Chandrakant Joshi,patil nilu smita karnad girish phule,1987,drama,patil nilu smita karnad girish phule drama
thikana,Mahesh Bhatt,kapoor patil amrita smita anil singh,1987,crime drama,kapoor patil amrita smita anil singh crime drama
uttar dakshin,Prabhat Khanna,shroff jackie madhuri dixit bharathi rajnikanth,1987,unknown,shroff jackie madhuri dixit bharathi rajnikanth unknown
vali-e-azam,Unknown,padma khanna,1987,unknown,padma khanna unknown
vishaal,Dinesh,vinod mehra kharbanda kulbhushan goswami bindiya,1987,drama romance,vinod mehra kharbanda kulbhushan goswami bindiya drama romance
waqt ka shahenshah,K. Bapaiah,krishna sridevi raogopalrao,1987,action,krishna sridevi raogopalrao action
watan ke rakhwale,Unknown,moushumi chakraborty dutt chatterjee sunil sridevi dharmendra mithun,1987,unknown,moushumi chakraborty dutt chatterjee sunil sridevi dharmendra mithun unknown
woh din aayega,Satyen Bose,rajan kiran sippy kumar raj ashok,1987,unknown,rajan kiran sippy kumar raj ashok unknown
yeh woh manzil to nahin,Sudhir Mishra,shah habib b tanvir manohar m singh,1987,drama,shah habib b tanvir manohar m singh drama
zameen,Ramesh Sippy,unknown,1987,unknown,unknown unknown
zevar,Basu Chatterji,anupam baswani nath ravi kher alok,1987,family romance drama comedy,anupam baswani nath ravi kher alok family romance drama comedy
aaj ke angaare,Archana Puran Singh,raja hemant hattangadi birje duggal rohini,1988,unknown,raja hemant hattangadi birje duggal rohini unknown
aaj ka robin hood,Tapan Sinha,robi ghosh dutt chatterjee utpal anil,1988,unknown,robi ghosh dutt chatterjee utpal anil unknown
aag ke sholay,Unknown,pandit vijayata grover hemant birje gulshan,1988,unknown,pandit vijayata grover hemant birje gulshan unknown
aage ki soch,Dada Kondke,kapoor khan murad huma shah satish raja shakti kondke dada,1988,comedy,kapoor khan murad huma shah satish raja shakti kondke dada comedy
aakhri adaalat,Rajiv Mehra,vinod shroff jackie dimple khanna kapadia sonam,1988,action,vinod shroff jackie dimple khanna kapadia sonam action
aakhri nishchay,K.C. Agarwal,surendra pal,1988,unknown,surendra pal unknown
abhishapt,Prakash Jha,deepti mohan vasant naval joglekar pyare sahay,1988,unknown,deepti mohan vasant naval joglekar pyare sahay unknown
agnee,J. Om Prakash,chakraborty chunky amrita pandey singh mithun,1988,unknown,chakraborty chunky amrita pandey singh mithun unknown
