Title,Director,Cast,Year,Genre,combo
agent 123,Gita Priya,master baby prakash bhanu indira krishna ram,1983,thriller,
andha kanoon,T. Rama Rao,malini bachchan pran reena amitabh hema rajnikanth roy,1983,drama,
ardh satya,Govind Nihalani,sadashiv amrish patil amrapurkar puri smita om,1983,crime drama,
arohan,Shyam Benegal,victor banerjee kapur noni ganguly pankaj,1983,drama,
arpan,J. Om Prakash,jeetendra reena parveen babi roy,1983,family drama,
ashray,Biplab Roy Chowdhury,unknown,1983,unknown,
avtaar,Mohan Kumar,sachin hangal shabana rajesh azmi khanna grover a k gulshan,1983,family drama,
bade dil wala,Bhappi Sonie,kapoor munim tina sarika pran rishi,1983,crime action family romance drama,
bandhan kuchchey dhaagon ka,Anil Sharma,shashi raakhee kapoor gulzar zeenat aman,1983,family drama,
bekaraar,Rajendra Prasad V.B.,mohan bahl mohnish choti asrani,1983,unknown,
bekhabar,Kedar Kapoor,unknown,1983,unknown,
betaab,Rahul Rawail,kapoor prem sunny amrita chopra shammi deol singh,1983,romance,
chatpati,V. Ravindra,reema kiran patil lagoo smita raj,1983,comedy,
chor police,Amjad Khan,vinod kapoor mehra shatrughan sinha kumar shakti parveen babi ashok,1983,crime action drama,
coolie,Manmohan Desai,kapoor khan waheeda bachchan rati agnihotri amitabh rishi kadar rehman,1983,action,
dard-e-dil,Suraj Prakash,zarina shashikala khanna wahab mukesh,1983,action,
daulat ke dushman,Bimal Rawal,vinod shatrughan sinha khanna pran manjushree,1983,action,
dhat tere... ki,Meraj,bhattacharya baswani akhil abhi ravi mishra,1983,unknown,
do gulab,Durai,bedi rakesh dhawan dilip vijay arora,1983,drama romance,
doosri dulhan,Lekh Tandon,victor shabana azmi banerjee sharmila tagore,1983,family drama,
du-janay,Ardhendu Chatterjee,unknown,1983,unknown,
ek baar chale aao,Jagdish Saldanah,deepti naval shaikh karnad girish farooq,1983,unknown,
ek din bahu ka,Desh Gautam,suresh vijay saeed oberoi arora jaffrey,1983,drama,
ek jaan hain hum,Rajiv Mehra,bedi rakesh avtar grover pran gulshan gill,1983,family romance,
faraib,Rajat Rakshit,ranjeeta chakraborty kaur mithun,1983,unknown,
fareb,Tej Sapru,unknown,1983,unknown,
film hi film,Hiren Nag,deo seema ramesh pran,1983,romance musical drama comedy,
ganga meri maa,Shyam Ralhan,danny sujit kumar denzongpa iftekhar,1983,unknown,
gehri chot - urf: durdesh,Ambrish Sangal,shashi kapoor babbar raj sharmila nadeem parveen tagore babi,1983,crime action drama,
ghungroo,Ram Sethi,shashi kapoor patil goswami smita kunal,1983,family,
godam,Dilip Chitre,satyadev dubey raina k trupti,1983,drama,
greed,Shankar Nag,vinod mehra,1983,unknown,
haadsaa,Akbar Khan,khan patil akbar ranjeeta smita kaur,1983,action thriller,
hero,Subhash Ghai,kapoor shroff jackie sheshadri meenakshi shammi,1983,action,
himmatwala,T. Rama Rao,sridevi jeetendra,1983,drama,
hum se hai zamana,Deepak Bahry,beena anand major bawa zeenat aman,1983,unknown,
humse na jeeta koi,Shibu Mitra,mohan shoma birbal anand choti,1983,unknown,
jaane bhi do yaaro,Kundan Shah,shah puri baswani naseeruddin ravi om,1983,comedy,
jaani dost,K. Raghavendra Rao,jeetendra parveen sridevi dharmendra babi,1983,crime action comedy romance drama,
jai baba amarnath,B.R. Ishara,vikram mohan choti,1983,unknown,
jeet hamaari,R. Thyagarajan,rakesh ranjeeta roshan kaur rajnikanth,1983,action,
jeevan sukh,Unknown,paul praveen,1983,unknown,
justice chaudhury,K. Raghavendra Rao,hema malini jeetendra sridevi,1983,family comedy action drama,
kaise kaise log,D.S. Azad,kapoor ayesha jhulka goga hattangadi rohini,1983,unknown,
kalakar,P. Sambasiva Rao,bedi rakesh goswami sridevi kunal,1983,family romance,
kalka,Unknown,khan paintal shatrughan sinha mazhar,1983,unknown,
karate,Deb Mukherjee,chakraborty khan kiran kaajol mazhar yogeeta mukherjee deb bali mithun,1983,action,
kashmira,Sukhdev Ahluwalia,unknown,1983,unknown,
katha,Sai Paranjape,deepti shah naval shaikh naseeruddin farooq,1983,drama comedy,
kaun? kaisey?,Unknown,chakraborty ardhendu bina bose mithun,1983,crime,
kaya palat,Satyen Bose,kumar ashok,1983,unknown,
kissi se na kehna,Hrishikesh Mukherjee,deepti naval shaikh dutt utpal farooq,1983,comedy,
lalach,Shankar Nag,vinod mehra ranjeet goswami pran bindiya,1983,unknown,
lal chunariyaa,Sudarshan Lal,chakraborty minaxi anand dulari mithun,1983,action drama,
log kya kahenge,B.R. Ishara,shatrughan sinha nischol shabana azmi navin,1983,family,
lovers,Bharathi Raja,gaurav bedi padmini rakesh kolhapure kumar,1983,romance drama comedy,
love in goa,Hersh Kohli,prakash ashok kumar verma mayur om,1983,unknown,
mahaan,S. Ramanathan,kapoor khan waheeda amjad bachchan amitabh shakti parveen babi rehman zeenat aman,1983,action drama,
main awara hoon,Ashim S. Samanta,jayapradha babbar dutt sanjay raj,1983,family drama,
mandi,Shyam Benegal,shah patil shabana azmi naseeruddin smita,1983,drama comedy,
mangal pandey,Harmesh Malhotra,khan darshan arora sood ranjit m ajit harbans,1983,crime action drama thriller,
masoom,Shekhar Kapur,urmila shah shabana matondkar jugal azmi naseeruddin hansraj,1983,drama,
mawaali,T. Rama Rao,prem khan kapoor jayapradha jeetendra chopra shakti kadar sridevi,1983,drama,
mazdoor,Ravi Chopra,padmini babbar kolhapure kumar dilip agnihotri raj rati,1983,drama,
mehndi,Asit Sen,vinod mehra babbar ranjeeta kaur raj,1983,unknown,
mujhe insaaf chahiye,T. Rama Rao,chakraborty rekha agnihotri rati mithun,1983,drama,
mujhe vachan do,Shibu Mitra,unknown,1983,unknown,
nastik,Pramod Chakravorty,malini bachchan pran amitabh hema,1983,action,
naukar biwi ka,Rajkumar Kohli,anita prakash babbar dharmendra pran reena raj roy om,1983,drama,
nishaan,"Surendra Mohan, Late Shri Sikander Khanna",rekha jeetendra rajesh khanna,1983,family action musical romance drama,
painter babu,Ashok,sheshadri meenakshi goswami neelima rajiv,1983,romance,
pasand apni apni,Basu Chatterji,chakraborty dutt utpal agnihotri rati mithun,1983,comedy,
prem tapasya,Dasari Narayana Rao,reena rekha jeetendra roy,1983,family drama,
pukar,Ramesh Behl,kapoor randhir munim bachchan tina amitabh zeenat aman,1983,drama,
pyaasi aankhen,Ram Kelkar,waheeda palekar shabana amol azmi rehman,1983,unknown,
qayamat,Raj Sippy,sinha dharmendra jayapradha shatrughan,1983,action drama,
raaste aur rishte,Unknown,khan mazhar priyadarshini,1983,unknown,
rachna,Sathish,kapoor beena jezebel banerjee anil,1983,family,
rang birangi,Hrishikesh Mukherjee,palekar amol shaikh parveen babi farooq,1983,comedy,
rishta kagaz ka,Ajay Goel,babbar nutan agnihotri raj rati,1983,musical drama,
romance,Ramanand Sagar,kapoor gaurav kumar dhillon shammi poonam,1983,romance,
sadma,Balu Mahendra,smitha grover hassan gulshan sridevi silk kamal,1983,romance,
sant ravidas ki amar kahani,Babubhai Mistri,unknown,1983,unknown,
sati naag kanya,Babubhai Mistri,neera gokhale manher vikram desai,1983,action fantasy adventure drama,
shubh kaamna,K. Vishwanath,dutt utpal agnihotri asrani rati,1983,drama comedy,
sookha,M.S. Sathyu,nag anant,1983,unknown,
souten,Sawan Kumar Tak,prem padmini munim kolhapure tina rajesh khanna pran chopra,1983,unknown,
sun meri laila,Chander Bahl,deepika iftekhar birbal,1983,romance,
sweekar kiya maine,Zaheer D. Lari,vinod mehra shabana narayan azmi prema,1983,drama comedy,
talabandi,Sunil Chadha,khan mehra pushpa soni javed neelam,1983,action,
taqdeer,Birj,chakraborty malini shatrughan sinha aman hema zeenat mithun,1983,crime romance action drama,
tum laut aao,Bhimsain,baswani chaudhary razdan ravi kavita karan,1983,unknown,
woh jo hasina,Deepak Bahry,chakraborty pran ranjeeta kaur mithun,1983,romance,
woh saat din,Bapu,kapoor shah padmini master kolhapure naseeruddin anil raju,1983,drama,
yahan se shehar ko dekho,Mahendra Sandhu,unknown,1983,unknown,
zakhmi dil,B.S. Shaad,kaur manorama dharmendra daljit,1983,unknown,
zara si zindagi,K. Balachander,anita nilu phule hassan raj kamal,1983,family drama,
zulf ke saye saye,Anand Sagar,unknown,1983,unknown,
aaj ka m.l.a. ram avtar,Narayana Rao Dasari,shabana rajesh azmi khanna verma deven,1984,action drama,
aaj ki awaaz,Ravi Chopra,patil babbar chauhan smita rashmi raj,1984,crime action drama,
aakhri sangram,Thaayillamal Naan Illai,madhu malini rajinikanth hassan kamal,1984,unknown,
aan aur shaan,Ravi Tandon,kapoor ranjeet shammi rishi,1984,drama,
aasmaan,Tony,agarwal mukul bhola birbal,1984,unknown,
ab ayega mazaa,Pankaj Parashar,bundela baswani raja ravi malhotra pavan,1984,comedy,
abodh,Hiren Nag,mohan tapa madhuri paul choti dixit david sheela,1984,unknown,
akalmand,N.S. Rajbharath,sridevi jeetendra kumar ashok,1984,romance comedy,
all rounder,Mohan Kumar,gaurav agnihotri rati kumar,1984,action drama,
anand aur anand,Dev Anand,dev suneil babbar anand raj,1984,romance family drama,
