Title,Director,Cast,Year,Genre
guru dronacharya a.k.a. drona the teacher,Dadasaheb Phalke,bhaurao datar charubai pendse dada,1923,mythology
guru machindranath a.k.a. streeyaraj a.k.a. the kingdom of women,S. N. Patankar,trymbakrao pradhan,1923,mythology
goswami tulsidas,Kanjibhai Rathod,unknown,1923,devotional biopic
janak videhi a.k.a. king janak,S. N. Patankar,unknown,1923,mythology
jara sandha vadha,Dadasaheb Phalke,bhaurao datar pawar singh bachu ghanshyam,1923,mythology
kamale kamini a.k.a. kamale kamani a.k.a. maid of the lotus,Sisir Kumar Bhaduri,sisir akshoy chakraborty master rabindramohan prabodh ray patience kumar kusumkumari bannerjee nripen basantakumari cooper tulsi liguoro bhaduri e bose,1923,mythology
khokha babu a.k.a. khokababu,Chittranjan R. Goswami,chittaranjan goswami mitra nagendrabala naresh,1923,social drama
kirat arjuna,Manilal Joshi,unknown,1923,mythology epic
krishna arjuna yuddha,Unknown,unknown,1923,mythology
krishna toola,Unknown,unknown,1923,mythology
life of lord buddha,Unknown,unknown,1923,religious biopic
maan bhanjan a.k.a. honour retained a.k.a. all for love,Naresh Mitra,chakraborty lila durgadas mitra bannerjee neelam mukherjee sona debi naresh tulsi rani indu tinkari,1923,social drama
mahananda a.k.a. sati mahananda,Dadasaheb Phalke,unknown,1923,devotional
matri sneha a.k.a. a mother's love,Jyotish Bannerjee,niroda chakraborty akshoy edwin sundari choudhury sushila amar mayer patience bannerjee miss kumud cooper tulsi debi prabhadevi jr kalidas,1923,social drama
matsya varah avtar,Unknown,unknown,1923,mythology
maya bazar,Baburao Painter,shantaram v,1923,mythology
minal devi a.k.a. the sin redeemed,Kanjibhai Rathod,miss khalil tara moti,1923,social
noorjehan a.k.a. light of the world a.k.a. nurjehan,J. J. Madan,ezra manchersha creed patience dadibhai chapgar albertini cooper charles mir sarkari,1923,historical biopic
raja gopichand,Unknown,unknown,1923,legend
raja mayurdhwaja,Unknown,asooji madanrai vakil,1923,mythology
samudra madanam,R. S. Prakash,unknown,1923,mythology
sati narmada,"Kanjibhai Rathod, Narayan Deware",unknown,1923,unknown
sati veermata a.k.a. pious veermata,S. N. Patankar,unknown,1923,historical
savitri a.k.a. savitri e satyvan savitri satyvan,"Giorgio Mannini, J. J. Madan",ferrari gianna castellani gonzales bruto terribili lydianne liguoro de angelo rina,1923,mythology
shishupal vadha a.k.a. the killing of shishupal,G. V. Sane,bhaurao sonabai datar sane pawar bachu,1923,mythology
shri balkrishna a.k.a. the child krishna,"Kanjibhai Rathod, Narayan Devare",unknown,1923,religious
shri krishna avatar,Baburao Painter,shantaram v,1923,religious
shri krishna bhakta peepaji,S. N. Patankar,unknown,1923,devotional
shri krishna satyabhama a.k.a. krishna satyabhama a.k.a. samantak mani,S. N. Patankar,tarabai koregaonkar thatte,1923,mythology
shuk rambha a.k.a. shukh deo,Kanjibhai Rathod,khalil tara,1923,fantasy
silent curse a.k.a. sati ka shaap,Manilal Joshi,unknown,1923,legend
sinhagad,Baburao Painter,bhave balasaab yadav d baburao painter pawar g p zhunzharrao shantaram k r v sarpotdar mane kamaladevi nalini,1923,historical drama
soul of a slave,Hemchandra Mukherjee,prafulla sudhir jyotish adele ahindra chowdhury nag ghosh jugal richards mitra mukherjee jane hemchandra bose willinsonworth gokul,1923,costume drama
the catechist of kil arni,"R. S. Prakash, Thomas Gavin Duffy",duffy gavin thomas,1923,religion
vaman avatar a.k.a. raja bali,S. N. Patankar,unknown,1923,mythology
vanraj chavdo a.k.a. vanraj chavda,Unknown,unknown,1923,legend historical
veer bhimsen,Kanjibhai Rathod,sakina raja moti miss savita tara sandow,1923,mythology
vratrasoor vadha,Unknown,unknown,1923,mythology
yayati,Dhirendranath Ganguly,unknown,1923,devotional
ashwathama,Dadasaheb Phalke,bhaurao datar madhav malusare pendse dada gotiram,1924,mythology
atma bal a.k.a. sundar kamdar,Unknown,asooji elizer,1924,unknown
bal shringee or bal shringi,Unknown,unknown,1924,mythology
bali yagna,V. K. Pattani,vaidya nanubhai batukbhai,1924,mythology
bali yagna a.k.a. self-surrender at the feet of the master,Kanjibhai Rathod,unknown,1924,mythology
bismi sadi a.k.a. twentieth century,Homi Master,charlie noor raja moti miss mohammed sandow,1924,social
bhakta sudhanva,Unknown,unknown,1924,devotional
chandan malayagiri,Naval Gandhi,unknown,1924,unknown
chandragupta and mahatma chanakya a.k.a. chandragupta chanakya,Unknown,asooji jilloobai,1924,historical
chandranath,Naresh Mitra,chowdhury durgadas jogesh mitra bannerjee nirmalbala naresh,1924,social
datta janma a.k.a. sati ansuya,G. V. Sane,bhaurao datar ashraben motiram bachu,1924,devotional
dhruva charitra a.k.a. the story of dhruva,Jyotish Bannerjee,mohan mcgrath master mannelli f james patience kashmiri p monilal agha cooper signor signorina m dadabhai hashar sarkari,1924,mythology
draupadi bhagya a.k.a. draupadi's fate,Raghupathy S. Prakasa,unknown,1924,mythology
gajendra moksham a.k.a. gajendra's nirvana,Raghupathy S. Prakasa,unknown,1924,mythology
gomata a.k.a. sacred cow,Unknown,unknown,1924,devotional
gul-e-bakavali,Kanjibhai Rathod,charlie fatma noor zubeida begum mohammed khalil miss moti jamuna sr sultana abdul ghani,1924,legend
ishq no umedwar,Unknown,unknown,1924,unknown
jayadratha vadha,G. V. Sane,bhaurao datar pawar bachu,1924,mythology
kala naag a.k.a. triumph of justice a.k.a. kalyug ki sati,Homi Master,fatma zubeida begum miss khalil tara moti ibrahim savita sultana,1924,life crime true thriller
kalyan khajina a.k.a. the treasures of khajina,Baburao Painter,bhave master bhosle baburao zunzharrao pawar painter vithal p k sultana kamaladevi chimasaheb nalini,1924,crime thriller
karan ghelo a.k.a. karan waghela,S. N. Patankar,unknown,1924,historical
kismet ka shikar a.k.a. victims of fate,Unknown,unknown,1924,social
krishna kumari a.k.a. daughter of shripur,Gajanan S. Devare,unknown,1924,costume
manorama a.k.a. hridaya triputi,Homi Master,khalil zubeida sultana,1924,social
mishar rani a.k.a. queen of mishar,Jyotish Bannerjee,niharbala naserwanji choudhury ahindra durgadas bannerjee krishnabhamini,1924,costume
municipal election a.k.a. municipal nivadnuk,Dadasaheb Phalke,baburao datar pawar jadhav shinde sakharam bachu,1924,social
nanda batrisi a.k.a. nand batrishi,Unknown,berry asooji dolores,1924,devotional
nandanar a.k.a. bhakta nandan,Raghupathy S. Prakasa,unknown,1924,devotional
narsinh mehta,Gajanan S. Devare,unknown,1924,devotional biopic
navin bharat a.k.a. new india a.k.a. naveen bharat,Kashinath Chatterjee,unknown,1924,social
navi sethani a.k.a. kanya vikrya ni kahani,Homi Master,unknown,1924,social
paper parinam a.k.a. crime and punishment,Unknown,nirmalendu prabhavati probodh lahiri chandra prabhadevi bose,1924,social
patni pratap a.k.a. wife's achievement,J. J. Madan,cooper patience,1924,social
poona raided a.k.a. poona par hallo,B. V. (Mama) Warerkar,bhawani vishnupant ketkar sansare sundar pandharinath varane datta baburao pagnis dulari shankarrao rao krishnarao miss kaiser shinde nadkarni kale,1924,historical
prithvi vallabh a.k.a. the lord of love and power,Manilal Joshi,wagle fatma zubeida begum miss p y jaina sultana pendharkar bhalji altekar sandow,1924,historical
prithviraj chouhan a.k.a. prithviraj chauhan,Unknown,unknown,1924,historical
ra mandlik,Homi Master,yakbal rajababu raja miss ganibabu sandow,1924,historical
raja harishchandra,"D.D. Dabke, Narayan Deware",unknown,1924,mythology
ranakdevi,S. N. Patankar,tarabai koregaonkar shah c,1924,historical
razia begum,"Nanubhai Desai, Bhagwati Mishra",jilloobai sandow raja,1924,historical
repentance a.k.a. paap no pashchatap,Naval Gandhi,berry tara dolores,1924,social
sadevant savlinga,Unknown,unknown,1924,costume
sadguni sushila a.k.a. sushila the virtuous a.k.a. triumph of truth,Kanjibhai Rathod,sandow raja,1924,life true drama thriller
samudra manthan a.k.a. the churning of the ocean a.k.a. ahankar vijaya,V.K. Pattani,vaidya nanubai batukbhai,1924,mythology
sanyasi,Naval Gandhi,unknown,1924,social
sati padmini a.k.a. beauty of rajasthan a.k.a. siege of chittor,Baburao Painter,bedi ganpat yadav zunzharrao pawar bakre dwarka balasaheb nalini,1924,historical drama
sati sardarba,Nanubhai Desai,mohanlala putli fatma zubeida begum sultana,1924,devotional
sati seeta,Kanjibhai Rathod,unknown,1924,religious
sati sone a.k.a. halaman jethvo,Homi Master,rajababu raja janibabu miss moti jamuna sr sandow,1924,devotional
shah jehan a.k.a. shahjehan,"Ardeshir M. Irani, Naval Gandhi",mishra jilloobai bhagwati elizer,1924,historical
shaitan pujari,Unknown,unknown,1924,social
sharda,Dadasaheb Phalke,unknown,1924,social
shivaji's escape from agra a.k.a. shivajichi agryahun sutaka,Dadasaheb Phalke,laxman bhaurao datar jardos malusare,1924,historical
sita shuddhi a.k.a. ram ravan yuddha a.k.a. the purification of sita,"G. V. Sane, Dadasaheb Phalke",vasant chavan shinde,1924,religious
shri dnyaneshwar,S. N. Patankar,unknown,1924,devotional
sita vanvas a.k.a. uttar ramcharitra,V. S. Nirantar,unknown,1924,religious
sharif badmash a.k.a. society scoundrel,Kanjibhai Rathod,dorothy ermeline vakil ali hakim shiraz madanrai,1924,social
sund and upsund,G. V. Sane,unknown,1924,mythology
the debt of sin a.k.a. paap no fej,"Ardeshir Irani, Naval Gandhi",asooji tara bhagwati mishra elizer,1924,life crime true thriller
turki hoor,J. J. Madan,sharifa mohan master surajram narmada patience manilal cooper shankar,1924,costume
usha swapna a.k.a. usha's dream,Raghupathy S. Prakasa,unknown,1924,mythology
vasant prabha,Unknown,probodh kusumkumari m prabhadevi hussain bose,1924,social
veer ahir,Homi Master,jamna k athavale b,1924,legend
veer bharat,Jyotish Bannerjee,unknown,1924,costume
veer durgadas a.k.a. brave durgadas,Bhagwati Mishra,mishra asooji jilloo bhagwati,1924,historical
vijaya a.k.a. victory a.k.a. vijay,Bhagwati Mishra,unknown,1924,unknown
vikram charitra a.k.a. buddhibal,"Nanubhai Desai, Dorabsha Kohla",tara gopalji asubhai,1924,legend
wages of sin,Unknown,unknown,1924,unknown
amarsinh daggar a.k.a. marwad's moti,Bhagwati Prasad Mishra,madanrai vakil,1925,historical
anant vrat,G. V. Sane,bhaurao krishna datar chauhan,1925,mythology
baap kamai a.k.a. fortunes and fools,Kanjibhai Rathod,gohar ermeline nandram gangaram gulab putlibai,1925,social
bajirao mastani,"Bhalji Pendharkar, Nanubhai B. Desai",nanasaheb jones master vithal miss sayani phatak yakub,1925,historical
bhadra bhamini a.k.a. test of chastity,Nanubhai B. Desai,joshi nandram gulab prabhudas p r,1925,costume
black thief a.k.a. kala chor,Manilal Joshi,raja janibabu zubeida putlibai sandow,1925,costume
chalu zamana a.k.a. chalti duniya,Unknown,unknown,1925,unknown
chandrakant a.k.a. filial duty,Harshadrai Sakerlal Mehta,haider shah ermeline malika nandram gulab gangaram,1925,costume
chandrarao more,N. D. Sarpotdar,n d baburao potdar dwarki p y pendharkar altekar elizer,1925,historical
charkha a.k.a. the spinning wheel a.k.a. anath abala,Kanjibhai Rathod,madanrai ermeline vakil,1925,social
chhatrapati sambhaji,N. D. Sarpotdar,d jilloobai billimoria p y altekar vedi elizer,1925,historical
child widow a.k.a. bal vidhva,Behram Vasania,diwana harihar heera,1925,social
cinema queen a.k.a. cinema ki rani,Rajendra Raj Gaur,shuklaji sadique master nurjehan mumtaz shivrani alaknanda madhukar mehtab gupte bachoo,1925,social
devadasi a.k.a. the bride of god,Manilal Joshi,b fatma prabhakar athavale raja zubeida begum k dabir shahzadi sandow,1925,costume
devi ahilyabai,Bhagwati Mishra,unknown,1925,devotional historical
dream of life a.k.a. sansar swapna,Homi Master,marie bachubhai moti miss khalil,1925,social
five divine wands a.k.a. panchdanda,Chandulal Shah,isdan putli yakbal raja ghory sandow,1925,fantasy
for mother's sake a.k.a. matri prem,M. D. Bhavnani,sandow raja moti,1925,social
ghar jamai a.k.a. hen-pecked husband,Homi Master,putlibai gohar sidimiya,1925,social
gaud bangal a.k.a. magicians of bengal a.k.a. kamroo deshni kamini,K. P. Bhave,vakil fatma jilloobai begum madanrai elizer,1925,unknown
gul-e-anar a.k.a. 1001 nights,Unknown,unknown,1925,fantasy
handsome blackguard a.k.a. fankdo fituri,Homi Master,sethna thelma master b yvonne homi boman athavale yakbal moti miss k fram wallace behram,1925,costume
hirji kamdar,Homi Master,khalil rajababu janibabu,1925,social
hothal padmini,Harshadrai Mehta,haider shah ermeline malika nandram gulab gangaram,1925,costume
indra sabha a.k.a. the royal court of indra,Manilal Joshi,siddimiya b athavale raja zubeida khalil k sultana sandow,1925,fantasy
jal kumari a.k.a. hoor-al-bahar,Harshadrai Mehta,vishnu gangaram gulab,1925,fantasy
jaler meye a.k.a. the girl in prison a.k.a. fisher girl,Jyotish Bannerji,chakraborty durgadas kalidasi a bannerjee k mukherjee kalidas,1925,social
justice,Vedi,p y altekar,1925,social
kala chor a.k.a. the black thief,Manilal Joshi,raja janibabu zubeida putlibai sandow,1925,costume
kali nagin,Bhagwati Mishra,jilloobai,1925,fantasy
kamallata,Kanjibhai Rathod,ermeline,1925,fantasy
kangal qaidi a.k.a. doomed soul,K. P. Bhave,mohanlala jainoo dorabji yeshwant miss bhagwati parshwanath mevawala altekar mishra,1925,social
kashmiri sundari,Unknown,howells mohammed patience p cooper hussain j,1925,social
krishna kumar a.k.a. sacho haqdar,Harshadrai Mehta,vishnu gangaram gulab,1925,costume
kulin kanta,Homi Master,vasania boman yakbal moti miss jamuna khalil janibabu behram,1925,social
kunj vihari,Homi Master,jamuna,1925,mythology
lalan vanjari,Maneklal Patel,pranjivan gangaram ermeline gulab,1925,legend
lanka ni laadi a.k.a. fairy of ceylon,Homi Master,gohar raja khalil jamuna sandow,1925,fantasy
looking for love a.k.a. sanam ni shodma,M. M. Vaidya,dorothy monghibai dave miss mani maganlal vaidya gatubhai bhimbhai,1925,social
mahatma kabirdas,Raghupathy S. Prakasa,unknown,1925,devotional
maya bazaar a.k.a. vatsala haran,Baburao Painter,kamladevi yadav ganpat pawar shantaram bakre v balasaheb zunzharrao,1925,mythology
mewadpati bappa rawal,Unknown,unknown,1925,historical
mojili mumbai a.k.a. slaves of luxury,Manilal Joshi,charlie noor yakbal raja janibabu miss jamuna moti mohammed saraswati devi sandow,1925,crime thriller
mulraj solanki,K. P. Bhave,vakil jilloobai yeshwant parshwanath madanrai altekar elizer,1925,historical
my wife a.k.a. mari dhaniyani,Homi Master,siddimiya moti miss jamuna khalil,1925,social
naval sha hirjee,Unknown,unknown,1925,legend
noor-e-deccan a.k.a. light of the deccan,Bhagwati Mishra,khalil jillobai gohar,1925,historical
pampered youth a.k.a. adooray chheley,J.J. Madan,sharifa cooper surajram patience,1925,social
prabhavati,N. D. Sarpotdar,p y altekar,1925,historical
premanjali a.k.a. an offering of love,Jyotish Bannerji,chakraborty ahindra durgadas choudhary a bannerjee k mukherjee kalidas,1925,social
